,Date,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
0,24-11-2023,Male,34,Beauty,3,50,150
1,27-02-2023,Female,26,Clothing,2,500,1000
2,13-01-2023,Male,50,Electronics,1,30,30
3,21-05-2023,Male,37,Clothing,1,500,500
4,06-05-2023,Male,30,Beauty,2,50,100
5,25-04-2023,Female,45,Beauty,1,30,30
6,13-03-2023,Male,46,Clothing,2,25,50
7,22-02-2023,Male,30,Electronics,4,25,100
8,13-12-2023,Male,63,Electronics,2,300,600
9,07-10-2023,Female,52,Clothing,4,50,200
10,14-02-2023,Male,23,Clothing,2,50,100
11,30-10-2023,Male,35,Beauty,3,25,75
12,05-08-2023,Male,22,Electronics,3,500,1500
13,17-01-2023,Male,64,Clothing,4,30,120
14,16-01-2023,Female,42,Electronics,4,500,2000
15,17-02-2023,Male,19,Clothing,3,500,1500
16,22-04-2023,Female,27,Clothing,4,25,100
17,30-04-2023,Female,47,Electronics,2,25,50
18,16-09-2023,Female,62,Clothing,2,25,50
19,05-11-2023,Male,22,Clothing,3,300,900
20,14-01-2023,Female,50,Beauty,1,500,500
21,15-10-2023,Male,18,Clothing,2,50,100
22,12-04-2023,Female,35,Clothing,4,30,120
23,29-11-2023,Female,49,Clothing,1,300,300
24,26-12-2023,Female,64,Beauty,1,50,50
25,07-10-2023,Female,28,Electronics,2,500,1000
26,03-08-2023,Female,38,Beauty,2,25,50
27,23-04-2023,Female,43,Beauty,1,500,500
28,18-08-2023,Female,42,Electronics,1,30,30
29,29-10-2023,Female,39,Beauty,3,300,900
30,23-05-2023,Male,44,Electronics,4,300,1200
31,04-01-2023,Male,30,Beauty,3,30,90
32,23-03-2023,Female,50,Electronics,2,50,100
33,24-12-2023,Female,51,Clothing,3,50,150
34,05-08-2023,Female,58,Beauty,3,300,900
35,24-06-2023,Male,52,Beauty,3,300,900
36,23-05-2023,Female,18,Beauty,3,25,75
37,21-03-2023,Male,38,Beauty,4,50,200
38,21-04-2023,Male,23,Clothing,4,30,120
39,22-06-2023,Male,45,Beauty,1,50,50
40,22-02-2023,Male,34,Clothing,2,25,50
41,17-02-2023,Male,22,Clothing,3,300,900
42,14-07-2023,Female,48,Clothing,1,300,300
43,19-02-2023,Female,22,Clothing,1,25,25
44,03-07-2023,Female,55,Electronics,1,30,30
45,26-06-2023,Female,20,Electronics,4,300,1200
46,06-11-2023,Female,40,Beauty,3,500,1500
47,16-05-2023,Male,54,Electronics,3,300,900
48,23-01-2023,Female,54,Electronics,2,500,1000
49,24-08-2023,Female,27,Beauty,3,25,75
50,02-10-2023,Male,27,Beauty,3,25,75
51,05-03-2023,Female,36,Beauty,1,300,300
52,13-07-2023,Male,34,Electronics,2,50,100
53,10-02-2023,Female,38,Electronics,3,500,1500
54,10-10-2023,Male,31,Beauty,4,30,120
55,31-05-2023,Female,26,Clothing,3,300,900
56,18-11-2023,Female,63,Beauty,1,30,30
57,13-11-2023,Male,18,Clothing,4,300,1200
58,05-07-2023,Male,62,Clothing,1,50,50
59,23-10-2023,Male,30,Beauty,3,50,150
60,09-04-2023,Male,21,Beauty,4,50,200
61,27-12-2023,Male,18,Beauty,2,50,100
62,05-02-2023,Male,57,Electronics,2,25,50
63,24-01-2023,Male,49,Clothing,4,25,100
64,05-12-2023,Male,51,Electronics,4,500,2000
65,27-04-2023,Female,45,Electronics,1,30,30
66,29-05-2023,Female,48,Beauty,4,300,1200
67,10-02-2023,Male,25,Electronics,1,300,300
68,30-04-2023,Female,56,Beauty,3,25,75
69,21-02-2023,Female,43,Clothing,1,300,300
70,14-07-2023,Female,51,Beauty,4,25,100
71,23-05-2023,Female,20,Electronics,4,500,2000
72,21-08-2023,Male,29,Electronics,3,30,90
73,22-11-2023,Female,18,Beauty,4,500,2000
74,06-07-2023,Male,61,Beauty,4,50,200
75,25-03-2023,Female,22,Electronics,2,50,100
76,09-07-2023,Female,47,Clothing,2,50,100
77,01-07-2023,Female,47,Clothing,3,500,1500
78,18-04-2023,Male,34,Beauty,1,300,300
79,10-12-2023,Female,64,Clothing,2,30,60
80,17-05-2023,Male,40,Electronics,1,50,50
81,26-12-2023,Female,32,Beauty,4,50,200
82,16-12-2023,Male,54,Electronics,2,50,100
83,28-11-2023,Female,38,Electronics,3,30,90
84,06-02-2023,Male,31,Clothing,3,50,150
85,08-11-2023,Male,19,Beauty,3,30,90
86,22-11-2023,Female,28,Beauty,2,50,100
87,29-03-2023,Male,56,Clothing,1,500,500
88,01-10-2023,Female,55,Electronics,4,500,2000
89,06-05-2023,Female,51,Electronics,1,30,30
90,25-03-2023,Female,55,Electronics,1,500,500
91,25-08-2023,Female,51,Electronics,4,30,120
92,14-07-2023,Female,35,Beauty,4,500,2000
93,19-05-2023,Female,47,Beauty,2,500,1000
94,24-11-2023,Female,32,Clothing,2,30,60
95,19-12-2023,Female,44,Clothing,2,300,600
96,13-10-2023,Female,51,Beauty,2,500,1000
97,23-04-2023,Female,55,Beauty,2,50,100
98,17-12-2023,Female,50,Electronics,4,300,1200
99,16-06-2023,Male,41,Electronics,1,30,30
